BFY,FTYP,FUNDTYPE,DEPARTMENT,RSRC,REVSOURCE,BUDCURR,REVBFY
2023,OTHO,Other Operating Fund,Risk Management,9201,Intfd Rev-Tran Fr Othr Fds-Rev,5934974,0
2022,GNFD,General Fund,Dallas Fire Department,8410,Misc-Rental Othr Properties,0,451
2023,GNFD,General Fund,Office of Budget,8047,Habitual Criminal Property - Residential Property,199138,0
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,705B,Temp Certificate of Occupancy Extension,21540,9270
2023,INSV,Internal Service Fund,Equipment & Fleet Management,8446,Misc-Sale Cty Surp Prp/Txbl Sl,0,36061.25
2022,EFOP,Enterprise Operating Fund,Aviation,8437,Misc-Gain On Sle Of Fxd Asset,0,2077017.56
2022,GNFD,General Fund,Transportation,8410,Misc-Rental Othr Properties,586689,593895.47
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704V,Zoning Research Only Fee,0,150
2023,GNFD,General Fund,Public Works & Transporation,8200,License Fees,2309146,2208240.47
2023,GNFD,General Fund,Park & Recreation,7213,Chgs Serv-Swimming Pools 11&-,410766,0
2023,GNFD,General Fund,Court & Detention Services,8539,New $3 Traffic Court Fee,110000,68403.64
2023,EFOP,Enterprise Operating Fund,Aviation,6391,Lics/Pmts-Vehicle Immobilization,0,1437
2022,GNFD,General Fund,Office of Budget,8209,Othr Sale-Bingo Gross Rect Fee,170450,107416.74
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,705C,Parking Agreement Amendment/term,15033,5987.5
2022,EFOP,Enterprise Operating Fund,Water Utilities,8104,Accrued Interest On Poold Inv,1160000,788822.95
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,9501,Hotel Occup Tax-Int,0,55459.45
2022,GNFD,General Fund,Dallas Fire Department,8413,Misc-Charges Refunded,0,333.96
2022,GNFD,General Fund,Library,7278,Chgs Serv-Int On Del Accounts,0,100
2023,DSGO,General Obligation Debt Service,Office of Budget,8125,Interest On Pooled Invest-Coup,200000,0
2023,GNFD,General Fund,City Attorney,8428,Misc-Misc Revenue,25000,588
2022,GNFD,General Fund,Office of Budget,8104,Accrued Interest On Poold Inv,0,525859.81
2022,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,9303,Copy Service Sales Non Taxable,445000,266757.93
2022,GNFD,General Fund,Dallas Fire Department,7456,Misc for Services,2286052,1896226.5
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,7842,Chgs Serv-Parking-Plaza Garage,291652,425776.01
2023,GNFD,General Fund,Office Of Cultural Affairs,7824,Chgs Serv-Concessions,190468,309704.49
2023,GNFD,General Fund,Management Services,7514,Air Pollution Emmission Fee,100729,0
2022,GNFD,General Fund,Dallas Police Dept,8000,Fines/For-Notification Fee,601700,614849.4
2023,GNFD,General Fund,Park & Recreation,7250,Charg For-Glf Gf Aft 4PM Wkdy,195670,113574.73
2023,GNFD,General Fund,Dallas Police Dept,7550,Service Charge Nsf Checks,0,30
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787S,Wastewater Svc Availa Nontaxab,5704,18000
2022,EFOP,Enterprise Operating Fund,Water Utilities,8103,Interest-Miscelleaneous,0,216048
2022,EFOP,Enterprise Operating Fund,Aviation,7821,Cable Television Installation,0,194533.19
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,8104,Accrued Interest On Poold Inv,0,-522.83
2022,DSGO,General Obligation Debt Service,Office of Budget,8116,Amortized Discount/Premium Int,0,71051.73
2023,GNFD,General Fund,Office of Budget,8428,Misc-Misc Revenue,212676,57834.86
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7046,Document Sales Non Taxable,26033,9303.71
2022,GNFD,General Fund,Code Compliance,7558,Multitenant Registration Fee,1684320,1417456.17
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,7815,Chgs Serv-Telephone Rental,1352600,1938824.42
2023,GNFD,General Fund,Park & Recreation,8424,Misc-Taxable Sales,197814,0
2022,INSV,Internal Service Fund,Equipment & Fleet Management,8104,Accrued Interest On Poold Inv,0,-155.87
2023,EFOP,Enterprise Operating Fund,Water Utilities,8803,Concession-Rev Lake Ray Hubbard,150000,62437.23
2023,GNFD,General Fund,Office of Budget,6008,Prop.Taxs-Refunds-Property Tx,21515,0
2023,GNFD,General Fund,Park & Recreation,7218,Chgs Serv-Picnic/Pavilion Rental Fee,141313,38025
2022,INSV,Internal Service Fund,Management Services,9417,Intrd Rev-GO Bond Reimbursement,5209374,5252187.72
2022,INSV,Internal Service Fund,Communication & Info Svcs,9414,Intfd-Telephone,12291132,12823238.65
2022,GNFD,General Fund,Transportation,8043,NON-taxable Parking Meter Fees,3786182,2710748.06
2023,OTHO,Other Operating Fund,Communication & Info Svcs,7911,9-1-1 Service Receipts,6750377,3671598.78
2022,EFOP,Enterprise Operating Fund,Water Utilities,8015,Fines/For-Refnds-Fines & Forf,2500,0
2023,GNFD,General Fund,Office Of Economic Development,7399,Public Improvement Dist Revenu,30000,15000
2022,GNFD,General Fund,Dallas Police Dept,7423,Chgs Serv-Accident Reports,67625,26955.85
2023,GNFD,General Fund,Office of Budget,9241,Indirect Cost -9-1-1,263928,0
2022,GNFD,General Fund,Park & Recreation,7283,Staff Taught Rec Class,1580049,262779.4
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704T,Tree Removal Permit Nontaxable,2970,7528.6
2022,EFOP,Enterprise Operating Fund,Aviation,7703,Badging Fees,240000,571647
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8100,Interest On Pooled Invest-Cash,0,162484.09
2023,GNFD,General Fund,Park & Recreation,7248,Chgs Serv-Glf Bef 4PM Wkdy,283642,138489.94
2022,GNFD,General Fund,Dallas Fire Department,788F,Fire Inspection-Hazardous Materials,156557,156020
2022,GNFD,General Fund,Office Of Cultural Affairs,8428,Misc-Misc Revenue,33851,54272.72
2023,GNFD,General Fund,Code Compliance,6381,Commercial Vacant Building Registration,2400,0
2022,GNFD,General Fund,Office of Budget,6003,Dealer Motor Vehicle Inventory Tax,237981,1100604.88
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,781B,Chgs Serv-Commerc Filming Fee,14500,5140
2023,GNFD,General Fund,Park & Recreation,8499,Emp Contribution To Health,0,-120
2022,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8104,Accrued Interest On Poold Inv,0,40180.98
2022,INSV,Internal Service Fund,Communication & Info Svcs,9413,Intfd-Desktop Services,1387660,188547.21
2022,GNFD,General Fund,Park & Recreation,7241,Chgs Serv-Golfcar Cds Sr/Hhdcp,150,0
2023,OTHO,Other Operating Fund,Risk Management,8100,Interest On Pooled Invest-Cash,0,264.26
2023,GNFD,General Fund,Transportation,8530,Court Cost-Child Safety/School,348000,250948.95
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787E,Escarpment Permit Nontaxable,1326,2000
2023,GNFD,General Fund,Code Compliance,749A,Restaurant Re-Inspection Fee,27611,6057
2023,GNFD,General Fund,Court & Detention Services,7211,Chgs Serv-City Wide Over/Short,0,-5.5
2022,GNFD,General Fund,Court & Detention Services,6308,Child Safety-Vehicle Registration Other,115018,94664.53
2023,GNFD,General Fund,Office of Budget,9253,Intfd Rev-Bond and Const Mgt-Indir Cst R,448076,0
2023,INSV,Internal Service Fund,Public Works & Transporation,7045,After Hours Inspection,99000,20169.82
2022,GNFD,General Fund,Dallas Fire Department,7550,Service Charge Nsf Checks,308,0
2022,GNFD,General Fund,Dallas Police Dept,8002,Fines/For-Wreckr Fee-Auto Pnd,3753753,3608042.74
2023,GNFD,General Fund,Office of Budget,9208,Intfd Rev-Wtr Dept-Indir Cst R,6265969,0
2022,EFOP,Enterprise Operating Fund,Water Utilities,7864,Chgs Serv-Ww-Total Rev Whsl,13472184,14303271.88
2022,GNFD,General Fund,Management Services,8413,Misc-Charges Refunded,0,247.42
2023,GNFD,General Fund,Park & Recreation,7215,Chgs Serv-Swims Pools Family/Season Pass,209403,3613.13
2022,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,8411,Misc-Gifts & Donations,0,60
2022,GNFD,General Fund,Park & Recreation,7244,Chgs Serv-Golf Punch Cards,31393,1272.83
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7045,After Hours Inspection,363990,435000
2023,EFOP,Enterprise Operating Fund,Sanitation Svcs,748F,Sanit Coll-Bulk and Brush Excess Fee (Taxable),100000,0
2022,GNFD,General Fund,Dallas Fire Department,8428,Misc-Misc Revenue,35683,9767.55
2022,GNFD,General Fund,Office of Budget,9230,Data Services Indirect Cost,1042405,1325675
2023,INSV,Internal Service Fund,Equipment & Fleet Management,7887,Misc-Cng Fuel Sales To Non Cit,2000,380.34
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,782A,Chgs Serv-New Accts Local Dir/Local Ag,0,54560
2023,GNFD,General Fund,Housing/Community Services,6503,Igovt Rev-Co Of Dallas-Tb Reim,463267,0
2022,GNFD,General Fund,Park & Recreation,8483,Misc-Building Lease,0,10118.77
2022,GNFD,General Fund,Office Of Cultural Affairs,7467,Security Chrgs-Non-Taxable,90611,179671
2022,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8116,Amortized Discount/Premium Int,0,3923.53
2023,GNFD,General Fund,Code Compliance,8575,Civil Penalities- Rehab,2000,308298.36
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,8100,Interest On Pooled Invest-Cash,0,215520.55
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,7828,Chgs Serv-Fm National Sales,0,8125
2022,GNFD,General Fund,Transportation,6377,Residential Parking Stickers,3281,144
2023,GNFD,General Fund,Office of Budget,8205,Othr Sale-Fran Txs-Lone Str Ga,24207084,5695137.52
2023,GNFD,General Fund,Court & Detention Services,7881,Chgs Serv-Muni Ct Warr Serv Fe,700000,395933.14
2023,EFOP,Enterprise Operating Fund,Aviation,7705,Non-Signatory Airlines Landing Fee,876565,422190.84
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,8100,Interest On Pooled Invest-Cash,0,1611.19
2023,DSGO,General Obligation Debt Service,Office of Budget,8116,Amortized Discount/Premium Int,0,680474.62
2022,GNFD,General Fund,Building Services,8428,Misc-Misc Revenue,0,0
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,705B,Temp Certificate of Occupancy Extension,23044,22590
2023,GNFD,General Fund,Code Compliance,7561,Mobile Food Prep Vehicles,35160,23064
2022,GNFD,General Fund,Sustainable Development and Construction,8200,License Fees,0,0
2023,GNFD,General Fund,Code Compliance,7558,Multitenant Registration Fee,1684320,695817.77
2022,EFOP,Enterprise Operating Fund,Water Utilities,8415,Misc-Sale of Fixed Assets,0,-90950
2022,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,7826,Chgs Serv-Fm Local Sales,1500000,1129066.21
2022,EFOP,Enterprise Operating Fund,Aviation,8432,Misc-Sale Cty Surp Prp/Non Tx,0,42093.75
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704K,Expedited Priority Inspection-Same Day,75833,12000
2022,GNFD,General Fund,Management Services,7419,Chgs Serv-Vital Statistics,1100000,1752341
2023,GNFD,General Fund,Park & Recreation,7245,Chgs Serv-Golf Cards Sr Grnfee,10900,112.28
2023,GNFD,General Fund,Dallas Fire Department,7883,Fire Reinspection Fee,391564,703621
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,8428,Misc-Misc Revenue,0,380633.42
2023,EFOP,Enterprise Operating Fund,Aviation,7456,Misc for Services,53026,0
2022,EFOP,Enterprise Operating Fund,Water Utilities,8416,Misc-Proceeds Fr Sale Of Land,2500,0
2022,GNFD,General Fund,Transportation,7458,Chgs Serv-Street Lights,647500,1089601.36
2022,EFOP,Enterprise Operating Fund,Aviation,7814,Rental On Airport Non Taxable,1045733,1330877.38
2023,EFOP,Enterprise Operating Fund,Aviation,6392,Lics/Pmts-Motor Vehicle Tow,8808,5021
2023,GNFD,General Fund,Code Compliance,7492,Mobile Food Units Permit Fee,163787,22712
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,7426,Chgs Serv-Sanitation Collect,103101915,0
2022,GNFD,General Fund,Management Services,8410,Misc-Rental Othr Properties,85000,108600
2022,DSGO,General Obligation Debt Service,Office of Budget,6007,Prop.Taxs-Penalty & Interest,1651825,2252180.56
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,9501,Hotel Occup Tax-Int,0,21606.51
2023,GNFD,General Fund,Court & Detention Services,8034,Dps Failure To Appear Fee,40000,14650.93
2022,EFOP,Enterprise Operating Fund,Water Utilities,7862,Chgs Serv-Ww-Totl Rev Retail,243908589,256889550.83
2022,GNFD,General Fund,Code Compliance,7515,Multi-Tenant Re-Inspection Fee,148848,18584.25
2022,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,8410,Misc-Rental Othr Properties,0,200
2023,GNFD,General Fund,Dallas Fire Department,8488,Miscellaneous Refunds,1000,8366.74
2022,GNFD,General Fund,Management Services,8428,Misc-Misc Revenue,0,0
2022,EFOP,Enterprise Operating Fund,Water Utilities,8108,Interest-DWU TWDB Escrow Accts,0,2162.61
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704E,Express Plan Review-Nontaxable,1942906,940637.5
2023,OTHO,Other Operating Fund,Communication & Info Svcs,R114,Gain/Loss Sale Of Investment,0,-9682.81
2023,GNFD,General Fund,Transportation,8428,Misc-Misc Revenue,393000,22330.05
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7053,Bldg Insp Backflow Prevention,160075,76340
2023,GNFD,General Fund,Code Compliance,7495,Swimming Pool Mgr. Fee Non-Resident,21000,6975
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8424,Misc-Taxable Sales,5000,25857.35
2022,DSGO,General Obligation Debt Service,Office of Budget,8585,Revenue-GO 2010B BABS Subsidy,1094193,1094192.74
2023,GNFD,General Fund,Park & Recreation,721C,Chgs Serv-Locker Rental Bahama Beach,20000,0
2023,GNFD,General Fund,Park & Recreation,7228,Recreation Center Id 18-62,124000,32224.15
2023,GNFD,General Fund,Code Compliance,7493,Temp Food Vendors Permit,728414,159643
2023,GNFD,General Fund,Office of Budget,7506,Chgs Serv-Security Alarm Fee,4588615,2260331.08
2022,GNFD,General Fund,Building Services,7890,Parking Courts 2014 Main Taxab,4735,7324.3
2023,GNFD,General Fund,Code Compliance,6337,Lics/Pmts-Electronic Repair,5846,2601
2022,GNFD,General Fund,Code Compliance,749A,Restaurant Re-Inspection Fee,27611,11242
2022,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,7403,Chgs Serv-Postage Sales,968740,583852.53
2022,EFOP,Enterprise Operating Fund,Water Utilities,8438,Misc-Accr Int-Sale Of Bond,0,2373891.36
2023,GNFD,General Fund,Office of Budget,6002,Prop.Taxs-Rl Est-Pr Rolls,2068550,523760.65
2022,GNFD,General Fund,Office of Budget,6301,Lics/Pmts-Beer Licenses,223255,208550.74
2022,GNFD,General Fund,Dallas Fire Department,7277,Chg Serv-Interest On Del Accts,73586,91359.51
2023,GNFD,General Fund,Library,8428,Misc-Misc Revenue,175000,30174.24
2023,EFOP,Enterprise Operating Fund,Water Utilities,7862,Chgs Serv-Ww-Totl Rev Retail,256116878,151353372.51
2023,EFOP,Enterprise Operating Fund,Aviation,7709,DEA Ground/Field Rental,947410,629262.85
2022,GNFD,General Fund,Office of Budget,6520,Igovt Rev-Euless,5512581,5300459.05
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7047,Miscellaneous Bldg Insp,531613,511636.89
2022,EFOP,Enterprise Operating Fund,Aviation,6506,Igovt Rev-Federal Grants,0,0
2023,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,R114,Gain/Loss Sale Of Investment,0,-29527.15
2022,EFOP,Enterprise Operating Fund,Public Works & Transporation,8200,License Fees,0,0
2022,GNFD,General Fund,Office of Budget,6527,Igovt Rev-Grapevine,600507,145651
2023,GNFD,General Fund,Office of Budget,6313,Lics/Pmts-Dance Halls,34392,17358
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,70MR,Multi-family Remodel,992064,1067906.34
2022,INSV,Internal Service Fund,Equipment & Fleet Management,8414,Misc-Auto Auction/Non-Tax Sls,675714,210132
2022,GNFD,General Fund,Code Compliance,788B,Single-Family Rental Registration Program,498900,391669.89
2023,GNFD,General Fund,Park & Recreation,7282,Recreation Center Id 06?11,59531,590.74
2023,GNFD,General Fund,Code Compliance,756C,Non TCS Product Sampling,26555,0
2023,GNFD,General Fund,Public Works & Transporation,8410,Misc-Rental Othr Properties,1164192,911415.19
2023,GNFD,General Fund,Dallas Police Dept,7547,State Fair Patrol Revenues,1928904,2155864.86
2023,GNFD,General Fund,Office of Budget,8209,Othr Sale-Bingo Gross Rect Fee,170450,76520.5
2023,GNFD,General Fund,Park & Recreation,7552,Greenhouse Utilities Revenue,40000,44368.61
2023,GNFD,General Fund,Office of Budget,9212,Intfd Rev-Munic Radio Indirect,48230,0
2023,GNFD,General Fund,Park & Recreation,8481,Misc-Percent Mdse Sales Pk Prp,207052,0
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787S,Wastewater Svc Availa Nontaxab,10533,6400
2023,GNFD,General Fund,City Controller's Office,7456,Misc for Services,404268,43151.43
2022,GNFD,General Fund,Code Compliance,7425,Weed Cutting-Paid Liens,1897711,3078390.64
2022,GNFD,General Fund,Park & Recreation,7222,Civic Reservation,2440,470
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,7403,Chgs Serv-Postage Sales,968740,253727.73
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7550,Service Charge Nsf Checks,0,270
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,8201,Othr Sales-Alcoholic Beverages,12236075,7269424.74
2023,EFOP,Enterprise Operating Fund,Water Utilities,8452,Misc-Water Pro Rata Refund,6900,26880.84
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8446,Misc-Sale Cty Surp Prp/Txbl Sl,65000,48286
2022,GNFD,General Fund,Code Compliance,637A,Group Housing Permit,67000,67450
2022,GNFD,General Fund,Building Services,8440,Misc-Bullington St Truck Terminal,265182,202440
2023,INSV,Internal Service Fund,Communication & Info Svcs,8104,Accrued Interest On Poold Inv,0,-37412.17
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,8482,Misc-Land Lease,697600,348800
2022,OTHO,Other Operating Fund,Risk Management,9201,Intfd Rev-Tran Fr Othr Fds-Rev,5264453,5264453
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7043,Special/Plat,1061841,591555.5
2022,GNFD,General Fund,Office of Budget,8203,Othr Sale-Fran Txes-Tu Electri,50876229,52149341.69
2022,GNFD,General Fund,Court & Detention Services,8010,Fines/For-Munic Ct Other,26922,26345.2
2023,GNFD,General Fund,Office of Budget,9213,Intfd Rev-Wtr Util Gross Recpt,28226525,8025228
2023,GNFD,General Fund,Office of Budget,8218,Naming/Pouring Rights/Sponsors,800000,38922.49
2023,EFOP,Enterprise Operating Fund,Office Of Cultural Affairs,7289,Other Collectible Cost Recopument,497574,0
2023,EFOP,Enterprise Operating Fund,Convention And Event Services,7822,Chgs Serv-Contract Service,18585658,11472039.32
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7054,Billboard Licensing Insp Fee,204643,141945
2022,GNFD,General Fund,Park & Recreation,7210,Chgs Serv-Swim Pool Card Age 18+ / Group Mission,148823,593561
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704R,Bldg Permit Remodel,10100021,13319170.75
2023,GNFD,General Fund,Dallas Fire Department,788E,Fire Inspection-Public Assembly,67550,76850
2023,GNFD,General Fund,Office of Budget,6514,Intergovernment Revenue-Coppell,149531,538736.97
2023,GNFD,General Fund,Office of Budget,7279,Chgs Serv-Atm Service Fees,0,191.22
2023,GNFD,General Fund,Park & Recreation,7204,Chgs Serv-Physical Fitness,128860,34473.74
2023,GNFD,General Fund,Park & Recreation,7249,Charg For-Golf Grnfees Bef4HOL,1032288,450133.72
2022,GNFD,General Fund,Dallas Fire Department,7413,Chgs Serv-Emergency Ambulance,27606192,33198978.72
2023,EFOP,Enterprise Operating Fund,Aviation,7712,Concession Revenue: Advertising & Misc,2077761,1116681.35
2022,GNFD,General Fund,Court & Detention Services,8428,Misc-Misc Revenue,0,30000
2022,GNFD,General Fund,Public Works & Transporation,8218,Naming/Pouring Rights/Sponsors,6834,3420
2022,EFOP,Enterprise Operating Fund,Water Utilities,7836,Chgs Serv-Tr Wat-Tot Rev Whsl,95719241,102788523.22
2023,GNFD,General Fund,Transportation,8041,NON-taxable Parking Lot Fees,945000,509937.17
2022,EFOP,Enterprise Operating Fund,Aviation,7710,Concession Revenue: Food/Beverage,8048313,10173503.41
2023,GNFD,General Fund,Code Compliance,756B,Preclosure,109477,17054
2022,GNFD,General Fund,Dallas Fire Department,788G,Fire Inspection-High-Rise Office/Storage/Assembly,23529,23206.71
2023,EFOP,Enterprise Operating Fund,Aviation,7702,TNC Revenues,2163750,2070739.75
2022,OTHO,Other Operating Fund,Communication & Info Svcs,7911,9-1-1 Service Receipts,6750377,7128657.37
2023,GNFD,General Fund,Park & Recreation,8471,Misc-Rental Of Bldgs And Othr,21371,12466.65
2022,INSV,Internal Service Fund,Communication & Info Svcs,8100,Interest On Pooled Invest-Cash,140681,72075.68
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704B,Building Plan Review,2056494,2391386.91
2022,EFOP,Enterprise Operating Fund,Stormwater Drainage Management,7940,Chgs Serv-Storm Water Fees,69288586,72549539.02
2022,GNFD,General Fund,Library,7431,Chgs Serv-Lib Non-Res Fee Crds,75000,105100
2023,GNFD,General Fund,Code Compliance,7457,Demolition Service Fees,510000,376398.58
2023,GNFD,General Fund,Dallas Fire Department,6370,Lics/Pmts-Fire Prevent Permit,806062,421083
2022,EFOP,Enterprise Operating Fund,Aviation,7809,Chgs Serv-Aviation Landing Fee,28262608,24923289.77
2023,EFOP,Enterprise Operating Fund,Aviation,7714,Concession Revenue: DEA Concession Revenue,15000,8560.62
2023,GNFD,General Fund,Management Services,704D,Demolition Permit,7200,0
2022,GNFD,General Fund,Dallas Fire Department,7883,Fire Reinspection Fee,401154,299274
2022,EFOP,Enterprise Operating Fund,Aviation,8415,Misc-Sale of Fixed Assets,0,-2277759.5
2022,OTHO,Other Operating Fund,Communication & Info Svcs,7913,Cama Trunk Revenue,3797,3252.9
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,7816,Facil & Equip Rental Non Taxab,9242939,9905175.83
2023,EFOP,Enterprise Operating Fund,Water Utilities,8451,Misc-Laterals-Sewer Permits,250000,291010
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,787B,Fire Sprinkler Plan Review,275977,290101.06
2023,GNFD,General Fund,Park & Recreation,7219,Chgs Serv-Bldg Use Fee,731428,71631.19
2023,GNFD,General Fund,City Controller's Office,8420,Misc-Handling Charges,60000,26727
2022,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,8100,Interest On Pooled Invest-Cash,0,16069.05
2023,GNFD,General Fund,Code Compliance,742L,Chgs Serv-Litter Clean-Paid Liens,150008,243116.16
2023,EFOP,Enterprise Operating Fund,Water Utilities,7834,Chgs Serv-Tr Wat-Tot Rev Retai,350581125,193773730.36
2022,GNFD,General Fund,City Attorney,9229,Intfd Rev-Refunds-Intr Fund Re,197558,197558
2023,EFOP,Enterprise Operating Fund,Aviation,8415,Misc-Sale of Fixed Assets,0,-2600
2023,OTHO,Other Operating Fund,Risk Management,8116,Amortized Discount/Premium Int,0,169.23
2022,INSV,Internal Service Fund,Public Works & Transporation,9418,Intrd Rev-GF Reimb for Non-Bond Projects,1330195,877151.4
2022,EFOP,Enterprise Operating Fund,Convention And Event Services,8428,Misc-Misc Revenue,102000,132441.43
2023,GNFD,General Fund,Park & Recreation,7824,Chgs Serv-Concessions,8444,371.52
2023,INSV,Internal Service Fund,Communication & Info Svcs,9400,Intrd Rev-Rental,14072232,7499807.82
2023,GNFD,General Fund,Office of Budget,6374,Lics/Pmts-Special Services Bus,4600,1715
2022,GNFD,General Fund,City Controller's Office,8428,Misc-Misc Revenue,50000,147181.37
2022,GNFD,General Fund,Water Utilities,8482,Misc-Land Lease,0,102
2022,GNFD,General Fund,Office of Budget,9213,Intfd Rev-Wtr Util Gross Recpt,27758791,32134886
2023,GNFD,General Fund,City Manager's Office,8428,Misc-Misc Revenue,0,20000
2022,GNFD,General Fund,Management Services,7505,Chgs Serv-Refunds-Chgs For Ser,0,-23
2023,GNFD,General Fund,Public Works & Transporation,9303,Copy Service Sales Non Taxable,10000,500
2022,GNFD,General Fund,Office of Budget,9250,Intfd Rev-SAN Indir Cst Reimb,5632182,5632182
2022,GNFD,General Fund,Office Of Cultural Affairs,7813,Chgs Serv-Service Charges,317737,246131.65
2023,INSV,Internal Service Fund,Purchasing/Bus. Diversity Dev,R114,Gain/Loss Sale Of Investment,0,-6544.22
2022,GNFD,General Fund,Code Compliance,742V,Chgs Serv-Vegetation Removal-Paid Liens,5948,40321.1
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704M,Bldg Permit Multi Family,1523382,1236590.58
2023,GNFD,General Fund,Court & Detention Services,8008,Fines/For-Munic Ct Traffic,6850000,3849674.48
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704D,Demolition Permit,134532,76003.92
2023,GNFD,General Fund,Code Compliance,788B,Single-Family Rental Registration Program,498900,219601
2022,GNFD,General Fund,Office of Budget,8414,Misc-Auto Auction/Non-Tax Sls,5345124,9877859.59
2022,GNFD,General Fund,Office of Budget,6100,Sales Tax Revenues,394108522,407309123.79
2022,EFOP,Enterprise Operating Fund,Water Utilities,8410,Misc-Rental Othr Properties,0,0
2022,GNFD,General Fund,Management Services,6506,Igovt Rev-Federal Grants,0,0
2022,GNFD,General Fund,Building Services,7279,Chgs Serv-Atm Service Fees,13830,13830
2022,GNFD,General Fund,Code Compliance,742L,Chgs Serv-Litter Clean-Paid Liens,150008,98672.57
2022,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,704M,Bldg Permit Multi Family,1476409,3224669.21
2022,OTHO,Other Operating Fund,Risk Management,8116,Amortized Discount/Premium Int,0,7.49
2023,GNFD,General Fund,City Secretary,9303,Copy Service Sales Non Taxable,2000,751.8
2023,GNFD,General Fund,Office Of Cultural Affairs,7437,Facility Maintenance Charge-Tenants,100156,45803
2022,GNFD,General Fund,Library,9304,Chgs Serv-Copy Sale-Taxable,4000,10.4
2022,GNFD,General Fund,Code Compliance,756C,Non TCS Product Sampling,26555,6408
2022,OTHO,Other Operating Fund,Risk Management,8100,Interest On Pooled Invest-Cash,0,4.41
2022,EFOP,Enterprise Operating Fund,Sanitation Svcs,748F,Sanit Coll-Bulk and Brush Excess Fee (Taxable),20000,0
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,R114,Gain/Loss Sale Of Investment,0,-57922.42
2022,GNFD,General Fund,Office of Budget,7419,Chgs Serv-Vital Statistics,0,148366
2022,GNFD,General Fund,Transportation,6395,Dockless Vehicle Permit,200000,0
2023,EFOP,Enterprise Operating Fund,Sustainable Development and Construction,7045,After Hours Inspection,433936,268040
2022,GNFD,General Fund,Library,8424,Misc-Taxable Sales,800,115.83
2022,GNFD,General Fund,Office of Budget,9229,Intfd Rev-Refunds-Intr Fund Re,9732894,0
2022,GNFD,General Fund,Office of Budget,6514,Intergovernment Revenue-Coppell,149531,605531.92
2023,GNFD,General Fund,Code Compliance,7277,Chg Serv-Interest On Del Accts,0,1663.06
2023,GNFD,General Fund,Park & Recreation,7201,Chgs Serv-Tennis League Ct Fee,10980,590.7
